coords,origin_id
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.30930977230044-45.44877256545056,140
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.315712301097635-45.44877256545056,141
9.322114829894833-45.44877256545056,142
